state,state_abbr,economy_state,expired_on,had_stay_at_home_order,open,close
Alaska,AK,EconomyState.REOPENED,4/24/2020,TRUE,"['Retail stores', 'Restaurant dining; Bars', 'Hair salons, barbershops, nail salons, etc.', '', 'Libraries; Theaters; Bowling alleys; Museums', 'Gyms; Pools']",[]
Iowa,IA,EconomyState.REOPENED,,FALSE,"['Retail stores, malls', 'Restaurant dining; Bars', 'Medical spas, tanning salons; Salons, barbershops, tattoo parlors, etc.', '', 'Libraries; Movie theaters; Museums, zoos, aquariums; Casinos; Outdoor venues; Bowling alleys, amusement parks; Indoor venues', 'Campgrounds; Gyms; Pools; Playgrounds, skating rinks, skate parks']",[]
Kansas,KS,EconomyState.REOPENED,5/3/2020,TRUE,"['Retail stores', 'Restaurant dining; Bars', 'Salons, barbershops, tattoo parlors', '', 'Theaters, museums and bowling alleys; Casinos; Nightclubs', 'Gyms; Community centers, sports facilities; Pools', 'Offices']",[]
Kentucky,KY,EconomyState.REOPENED,,,"['Retail stores', 'Restaurant dining; Distilleries; Bars', 'Pet grooming and boarding; Salons, barbershops, tattoo parlors, etc.', '', 'Movie theaters; Bowling alleys; Museums, aquariums, libraries, outdoor attractions; Venues and events spaces', 'Gyms; Aquatic centers; Campgrounds; Public pools', 'Manufacturing, construction, offices']",[]
Minnesota,MN,EconomyState.REOPENED,5/17/2020,TRUE,"['Retail stores; Malls', 'Restaurants and bars', 'Salons, barbershops, tattoo parlors', '', 'Theaters and concert halls; Bowling alleys, arcades and museums', 'Campgrounds; Gyms', 'Manufacturing; Offices']",[]
Missouri,MO,EconomyState.REOPENED,5/3/2020,TRUE,"['Retail stores', 'Restaurant dining', 'Salons, barbershops, tattoo parlors, etc.', '', 'Movie theaters, music venues, etc.; Casinos', 'Gyms; Campgrounds']",[]
Montana,MT,EconomyState.REOPENED,4/26/2020,TRUE,"['Retail stores', 'Restaurant dining, bars, breweries and distilleries', 'Salons, barbershops, massage parlors', '', 'Museums, movie theaters; Concert venues; Bowling alleys; Casinos', 'Gyms']",[]
Nebraska,NE,EconomyState.REOPENED,,FALSE,"['Retail', 'Restaurant dining; Bars', 'Salons, barbershops, tattoo parlors, etc.', '', 'Zoos, movie theaters, libraries and venues', 'Pools; Gyms']",[]
New Hampshire,NH,EconomyState.REOPENED,6/15/2020,TRUE,"['Retail stores', 'Restaurant dining', 'Barbershops, hair salons, etc.; Nail salons; Tanning salons; Tattoo shops; Acupuncturists and massage therapists', '', 'Libraries, museums, art galleries; Bowling alleys and entertainment centers; Movie theaters; Amusement parks; Live performances', 'Golf courses; Outdoor attractions; Beaches; Gyms; Pools']",[]
North Dakota,ND,EconomyState.REOPENED,,FALSE,"['Retail', 'Restaurant dining, bars', 'Salons, tattoo parlors, massage therapy, etc.', '', 'Movie theaters; Music and entertainment venues', 'Gyms; Sports venues']",[]
Oklahoma,OK,EconomyState.REOPENED,,FALSE,"['Retail stores', 'Restaurant dining; Bars', 'Salons, barbershops, spas, pet groomers, etc.; Tattoo parlors', '', 'Movie theaters, sports venues, museums; Nightclubs', 'State parks; Zoos; Gyms', 'Offices']",[]
Pennsylvania,PA,EconomyState.REOPENED,6/4/2020,TRUE,"['Retail stores; Shopping malls', 'Restaurants and bars', 'Hair salons, barbershops, spas', '', 'Casinos, theaters', 'Golf courses, marinas, private campgrounds; Beaches; State parks; Public pools; Gyms']",[]
South Dakota,SD,EconomyState.REOPENED,,FALSE,"['Retail stores', 'Restaurant dining', 'Salons, barbershops', '', 'Gyms']",[]
Utah,UT,EconomyState.REOPENED,,FALSE,"['Retail stores', 'Restaurant dining', 'Salons, personal care businesses', '', 'Movie theatres, museums, libraries, concerts', 'Gyms; Pools']",[]
Virginia,VA,EconomyState.REOPENED,6/10/2020,TRUE,"['Retail stores', 'Restaurants and bars', 'Salons, barbershops, etc.', '', 'Museums, zoos, aquariums, outdoor concerts', 'Campgrounds; Beaches; Gyms; Pools']",[]
West Virginia,WV,EconomyState.REOPENED,5/3/2020,TRUE,"['Retail stores; Malls', 'Restaurant dining; Bars', 'Salons, barbershops, pet groomers; Tanning salons; Massage parlors and spas', '', 'Museums, zoos; Bowling alleys, pool halls, roller rinks; Casinos; Movie theaters; Amusement parks, fairs, festivals', 'Gyms, recreation centers; State parks, campgrounds; Pools']",[]
Wisconsin,WI,EconomyState.REOPENED,,,"['Retail stores', 'Restaurants and bars', 'Pet groomers for curbside dropoff; Hair salons, spas, barbershops', '', 'Golf courses; State parks; Gyms']",[]
District of Columbia,DC,EconomyState.FORWARD,5/29/2020,TRUE,"['Retail stores', 'Restaurants dining', 'Barbershops, hair salons; Nail salons, waxing salons, spas', '', 'Museums, libraries', 'Dog parks, golf courses, tennis courts, parks; Gyms']",['Nightclubs']
Georgia,GA,EconomyState.FORWARD,4/30/2020,TRUE,"['Retail', 'Restaurant dining', 'Hair salons, barbershops, etc.', '', 'Bowling alleys; Theaters, private social clubs; Large venues; Bars, nightclubs', 'Gyms']",[]
