GeoCodeID,Population,Density
28,2976149,63.422797317
29,6137428,89.27757816399999
30,1068778,7.3431452165
31,1934408,25.18219543
32,3080156,28.037006365
33,1359711,151.8653269
34,8882190,1207.6722171
35,2096829,17.284562099000002
36,19453561,412.81842864
37,10488084,215.71420423
38,762062,11.045213462000001
39,11689100,286.08552119
40,3956971,57.685202577
41,4217737,43.940251292
42,12801989,286.13105806
44,1059361,1024.6267288
45,5148714,171.26007636
46,884659,11.669470806
47,6829174,165.60404231
48,28995881,110.98346670000001
50,623989,67.693332663
49,3205958,38.918176132
51,8535519,216.18675868
53,7614893,114.58700852
54,1792147,74.545048061
55,5822434,107.48955424
56,578759,5.9611363253
72,3193694,
1,4903185,96.811652435
2,731545,1.2811265920000001
4,7278717,64.043251752
5,3017804,57.992836305
6,39512223,253.52068818
8,5758736,55.566142837
10,973764,499.74775877
11,705749,11543.999939
9,3565287,736.22104642
12,21477737,400.34642766
13,10617423,183.95873142
16,1787065,21.623354888
15,1415872,220.45750094
17,12671821,228.26467808
18,6732219,187.91203111
19,3155070,56.48808963
20,2913314,35.633173473
21,4467673,113.13031412
22,4648794,107.59979292
23,1344212,43.579859408999994
24,6045680,622.55125026
25,6892503,883.54570363
26,9986857,176.4277398
27,5639632,70.826623512
