Date,State,Pos_Tests,Neg_Tests,Currently_Hospitalized,Total_Hospitalized,ICU_Current,Total_ICU,On_Vent_Curr,Total_Vent_Util,Recovered,Deaths,DeathsConfCovid,DeathsProbCovid,NewPosCases,NewNegCases,TotalTested,NewTests,NewDeaths,NewHosp
2020-03-07,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2020-03-08,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2020-03-09,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2020-03-10,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2020-03-11,MS,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,20,20,0,0
2020-03-12,MS,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21,42,22,0,0
2020-03-13,MS,4.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,45,3,0,0
2020-03-14,MS,6.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,43,90,45,0,0
2020-03-15,MS,10.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,94,4,0,0
2020-03-16,MS,12.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,193,289,195,0,0
2020-03-17,MS,21.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,91,389,100,0,0
2020-03-18,MS,34.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,111,513,124,0,0
2020-03-19,MS,50.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,73,602,89,0,0
2020-03-20,MS,80.0,695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,143,775,173,1,0
2020-03-21,MS,140.0,695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60,0,835,60,0,0
2020-03-22,MS,207.0,1114.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,67,419,1321,486,0,33
2020-03-23,MS,249.0,1143.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42,29,1392,71,0,0
2020-03-24,MS,320.0,1552.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,71,409,1872,480,0,53
2020-03-25,MS,377.0,1566.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57,14,1943,71,1,31
2020-03-26,MS,485.0,2291.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,108,725,2776,833,4,33
2020-03-27,MS,579.0,2560.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,94,269,3139,363,2,35
2020-03-28,MS,663.0,2560.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,84,0,3223,84,5,34
2020-03-29,MS,758.0,2560.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,95,0,3318,95,1,16
2020-03-30,MS,847.0,2989.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,89,429,3836,518,2,-40
2020-03-31,MS,937.0,3537.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,90,548,4474,638,4,16
2020-04-01,MS,1073.0,3712.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,136,175,4785,311,2,121
2020-04-02,MS,1177.0,4753.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,104,1041,5930,1145,4,28
2020-04-03,MS,1358.0,4753.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,181,0,6111,181,3,60
2020-04-04,MS,1455.0,5133.0,0.0,436.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,97,380,6588,477,6,16
2020-04-05,MS,1638.0,5580.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,183,447,7218,630,8,39
2020-04-06,MS,1738.0,18632.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,100,13052,20370,13152,8,0
2020-04-07,MS,1915.0,18632.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,177,0,20547,177,8,-98
2020-04-08,MS,2003.0,18632.0,0.0,410.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,88,0,20635,88,8,33
2020-04-09,MS,2260.0,18632.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,257,0,20892,257,9,31
2020-04-10,MS,2469.0,18632.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,209,0,21101,209,6,41
2020-04-11,MS,2642.0,18632.0,0.0,528.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,173,0,21274,173,11,46
2020-04-12,MS,2781.0,18632.0,0.0,548.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,139,0,21413,139,3,20
2020-04-13,MS,2942.0,28042.0,0.0,549.0,124.0,0.0,84.0,0.0,0.0,98.0,0.0,0.0,161,9410,30984,9571,2,1
